README.mdiso3;year;month;fatalities
AGO;2016;5;1.355191256830601
AGO;2016;6;3.3114754098360653
AGO;2016;7;3.355191256830601
AGO;2016;8;2.3551912568306013
AGO;2016;9;4.311475409836065
AGO;2016;10;1.355191256830601
AGO;2016;11;3.3114754098360653
AGO;2016;12;1.355191256830601
AGO;2017;1;0.7643835616438356
AGO;2017;2;9.69041095890411
AGO;2017;3;0.7643835616438356
AGO;2017;4;0.7397260273972602
AGO;2017;5;3.764383561643836
AGO;2017;6;1.7397260273972603
AGO;2017;7;0.7643835616438356
AGO;2017;8;1.7643835616438357
AGO;2017;9;0.7397260273972602
AGO;2017;10;0.7643835616438356
AGO;2017;11;0.7397260273972602
AGO;2017;12;3.764383561643836
AGO;2018;1;
AGO;2018;2;
AGO;2018;3;1.0
AGO;2018;4;
AGO;2018;5;
AGO;2018;6;1.0
AGO;2018;7;2.0
AGO;2018;8;
AGO;2018;9;
AGO;2018;10;20.0
AGO;2018;11;
AGO;2018;12;
AGO;2019;1;3.2739726027397262
AGO;2019;2;3.150684931506849
AGO;2019;3;6.273972602739725
AGO;2019;4;1.2328767123287672
AGO;2019;5;1.273972602739726
AGO;2019;6;1.8995433789954337
AGO;2019;7;2.6073059360730597
AGO;2019;8;1.273972602739726
AGO;2019;9;1.2328767123287672
AGO;2019;10;1.273972602739726
AGO;2019;11;1.2328767123287672
AGO;2019;12;1.273972602739726
AGO;2020;1;1.185792349726776
AGO;2020;2;1.109289617486339
AGO;2020;3;1.185792349726776
AGO;2020;4;1.147540983606557
AGO;2020;5;2.185792349726776
AGO;2020;6;6.147540983606557
AGO;2020;7;6.185792349726777
AGO;2020;8;2.185792349726776
AGO;2020;9;3.1475409836065573
AGO;2020;10;1.185792349726776
AGO;2020;11;2.1475409836065573
AGO;2020;12;1.185792349726776
AGO;2021;1;10.0
AGO;2021;2;
AGO;2021;3;
AGO;2021;4;
AGO;2021;5;2.0
AGO;2021;6;
AGO;2021;7;
AGO;2021;8;
AGO;2021;9;
AGO;2021;10;
AGO;2021;11;1.0
AGO;2021;12;
ALB;2003;8;
ALB;2003;9;
ALB;2003;10;
ALB;2003;11;
ALB;2003;12;
ALB;2004;1;
ALB;2004;2;
ALB;2004;3;
ALB;2004;4;
ALB;2004;5;
ALB;2004;6;
ALB;2004;7;
ALB;2004;8;
ALB;2004;9;
ALB;2004;10;
ALB;2004;11;
ALB;2004;12;
ALB;2005;1;
ALB;2005;2;
ALB;2005;3;
ALB;2005;4;
ALB;2005;5;
ALB;2005;6;
ALB;2005;7;
ALB;2005;8;
ALB;2005;9;
ALB;2005;10;
ALB;2005;11;
ALB;2005;12;
ALB;2006;1;
ALB;2006;2;
ALB;2006;3;
ALB;2006;4;
ALB;2006;5;
ALB;2006;6;
ALB;2006;7;
ALB;2006;8;
ALB;2006;9;
ALB;2006;10;
